codex_id,categ_id,type,state,name
5184,439,product,sellable,"KERAN DAPUR KD 03 KRANZ"
4299,439,product,sellable,"KERAN DAV 01 SHOWER DCOTA"
3148,439,product,sellable,"KERAN DISPENSER AQUA AWEI"
4401,439,product,sellable,"KERAN DOUBLE BALING MINIMALIS IM"
6142,439,product,sellable,"KERAN FIORENTINO AF8818"
1613,439,product,sellable,"keran gas 1/2 x 1/4 SATA"
1612,439,product,sellable,"keran gas 1/4"
2384,439,product,sellable,"KERAN GAS 1/4 DUS BIRU TORA"
3833,439,product,sellable,"KERAN GAS 1/4 KOMPLIT"
4410,439,product,sellable,"KERAN GAS 1/4 PUTIH TORA"
4698,439,product,sellable,"KERAN GAS CABANG 1/2 X 1/2 X 1/4"
5098,439,product,sellable,"KERAN GAS TAKA 1/2"
4504,439,product,sellable,"KERAN PANAS DINGIN K306 CB ONDA"
5562,439,product,sellable,"KERAN S5FFZ POLOS"
5561,439,product,sellable,"KERAN S5HNZ SELANG TAMAN"
4699,439,product,sellable,"KERAN SHOWER BALING IM"
4478,439,product,sellable,"KERAN SHOWER JF 07 CA ONDA"
4485,439,product,sellable,"KERAN SHOWER JF-06 FA ONDA"
5029,439,product,sellable,"KERAN SHOWER MINIMALIS OVAL JF-304"
4477,439,product,sellable,"KERAN SHOWER TEE KENMASTER"
3654,439,product,sellable,"KERAN WASTAFEL ONDA Y320C PANJANG UP DOWN"
3060,439,product,sellable,"SARINGAN KERAN PURE AWEI"
1372,439,product,sellable,"SHOWER TEMBOK BAGUA"
